# NedoTokenizer 20 GB candidate vocabulary
# NDSRF004 / RootSuffixByteBpe / max_token_bytes=48 / min_frequency=100
# columns: id	type	text	hex
636	learned	" zaman"	20 7A 61 6D 61 6E
637	learned	"ep"	65 70
638	learned	"larını"	6C 61 72 C4 B1 6E C4 B1
639	learned	" 0"	20 30
640	learned	"ekil"	65 6B 69 6C
641	learned	" sor"	20 73 6F 72
642	learned	"lara"	6C 61 72 61
643	learned	"ilen"	69 6C 65 6E
644	learned	"sinde"	73 69 6E 64 65
645	learned	"oy"	6F 79
646	learned	"art"	61 72 74
647	learned	"iğ"	69 C4 9F
648	learned	" I"	20 49
649	learned	"ke"	6B 65
650	learned	"üt"	C3 BC 74
651	learned	" taraf"	20 74 61 72 61 66
652	learned	"ımız"	C4 B1 6D C4 B1 7A
653	learned	"lere"	6C 65 72 65
654	learned	" dur"	20 64 75 72
655	learned	"deki"	64 65 6B 69
656	learned	"diğ"	64 69 C4 9F
657	learned	"nun"	6E 75 6E
658	learned	"abilir"	61 62 69 6C 69 72
659	learned	"ht"	68 74
660	learned	"inin"	69 6E 69 6E
661	learned	"sel"	73 65 6C
662	learned	"iv"	69 76
663	learned	" yaz"	20 79 61 7A
664	learned	" tek"	20 74 65 6B
665	learned	" sa"	20 73 61
666	learned	"oc"	6F 63
667	learned	"iyet"	69 79 65 74
668	learned	"masın"	6D 61 73 C4 B1 6E
669	learned	" düş"	20 64 C3 BC C5 9F
670	learned	"ılan"	C4 B1 6C 61 6E
671	learned	"su"	73 75
672	learned	"erç"	65 72 C3 A7
673	learned	"ran"	72 61 6E
674	learned	"ter"	74 65 72
675	learned	"ten"	74 65 6E
676	learned	"maya"	6D 61 79 61
677	learned	"çe"	C3 A7 65
678	learned	" kadar"	20 6B 61 64 61 72
679	learned	"üyük"	C3 BC 79 C3 BC 6B
680	learned	" belir"	20 62 65 6C 69 72
681	learned	" top"	20 74 6F 70
682	learned	"iyle"	69 79 6C 65
683	learned	" Ü"	20 C3 9C
684	learned	"ER"	45 52
685	learned	" doğ"	20 64 6F C4 9F
686	learned	"duğu"	64 75 C4 9F 75
687	learned	" dev"	20 64 65 76
688	learned	" Baş"	20 42 61 C5 9F
689	learned	"iniz"	69 6E 69 7A
690	learned	" ak"	20 61 6B
691	learned	" karşı"	20 6B 61 72 C5 9F C4 B1
692	learned	"ster"	73 74 65 72
693	learned	"af"	61 66
694	learned	"”"	E2 80 9D
695	learned	"eden"	65 64 65 6E
696	learned	"“"	E2 80 9C
697	learned	" oy"	20 6F 79
698	learned	"gula"	67 75 6C 61
699	learned	" dön"	20 64 C3 B6 6E
700	learned	"AR"	41 52
701	learned	" veya"	20 76 65 79 61
702	learned	" hal"	20 68 61 6C
703	learned	"dığı"	64 C4 B1 C4 9F C4 B1
704	learned	" kendi"	20 6B 65 6E 64 69
705	learned	" kat"	20 6B 61 74
706	learned	" kay"	20 6B 61 79
707	learned	" gü"	20 67 C3 BC
708	learned	"tik"	74 69 6B
709	learned	" konu"	20 6B 6F 6E 75
710	learned	"aber"	61 62 65 72
711	learned	"larda"	6C 61 72 64 61
712	learned	"lay"	6C 61 79
713	learned	" sah"	20 73 61 68
714	learned	",000"	2C 30 30 30
715	learned	" tar"	20 74 61 72
716	learned	"kin"	6B 69 6E
717	learned	"iç"	69 C3 A7
718	learned	"lo"	6C 6F
719	learned	" üzeri"	20 C3 BC 7A 65 72 69
720	learned	"siniz"	73 69 6E 69 7A
721	learned	" ür"	20 C3 BC 72
722	learned	"cu"	63 75
723	learned	"AN"	41 4E
724	learned	" hak"	20 68 61 6B
725	learned	"ası"	61 73 C4 B1
726	learned	"makta"	6D 61 6B 74 61
727	learned	" at"	20 61 74
728	learned	" kap"	20 6B 61 70
729	learned	"ram"	72 61 6D
730	learned	" ben"	20 62 65 6E
731	learned	"201"	32 30 31
732	learned	"etim"	65 74 69 6D
733	learned	"ının"	C4 B1 6E C4 B1 6E
734	learned	"   "	20 20 20
735	learned	"ing"	69 6E 67
736	learned	"liğ"	6C 69 C4 9F
737	learned	"erk"	65 72 6B
738	learned	"aç"	61 C3 A7
739	learned	"20"	32 30
740	learned	" 6"	20 36
741	learned	"dür"	64 C3 BC 72
742	learned	"ans"	61 6E 73
743	learned	"ted"	74 65 64
744	learned	"erçek"	65 72 C3 A7 65 6B
745	learned	" yak"	20 79 61 6B
746	learned	" yeni"	20 79 65 6E 69
747	learned	"Ç"	C3 87
748	learned	" e"	20 65
749	learned	" 19"	20 31 39
750	learned	" ama"	20 61 6D 61
